col_name,n,n_nan,pct_nan,pct_zero,mean,std,median,p5,p25,p75,p95,skewness,excess_kurtosis,bimodality_coeff,n_unique,is_binary,is_integer_valued,is_non_negative,suggested_family,label
home_win,164438,0,0.0,46.43,0.535703,0.498724,1.0,0.0,0.0,1.0,1.0,-0.1432,-1.9795,1.0,2,True,True,True,bernoulli,target
away_win,164438,0,0.0,54.07,0.459316,0.498342,0.0,0.0,0.0,1.0,1.0,0.1633,-1.9733,1.0,2,True,True,True,bernoulli,target
yrfi,164438,0,0.0,48.86,0.511445,0.499869,1.0,0.0,0.0,1.0,1.0,-0.0458,-1.9979,1.0,2,True,True,True,bernoulli,target
nrfi,164438,0,0.0,51.14,0.488555,0.499869,0.0,0.0,0.0,1.0,1.0,0.0458,-1.9979,1.0,2,True,True,True,bernoulli,target
extra_innings,164438,0,0.0,91.23,0.087723,0.282892,0.0,0.0,0.0,0.0,1.0,2.9147,6.4957,1.0,2,True,True,True,bernoulli,target
total_runs,164438,0,0.0,0.02,8.98594,4.671644,8.0,3.0,6.0,12.0,17.0,0.9723,2.3067,0.3666,51,False,True,True,negative_binomial,target
home_runs,164438,0,0.0,5.55,4.559177,3.134094,4.0,0.0,2.0,6.0,10.0,1.0917,2.3266,0.4115,34,False,True,True,negative_binomial,target
away_runs,164438,0,0.0,6.8,4.426763,3.221292,4.0,0.0,2.0,6.0,10.0,1.1447,2.4658,0.4227,36,False,True,True,negative_binomial,target
home_run_diff,164438,0,0.0,0.5,0.132415,4.309788,1.0,-7.0,-3.0,3.0,7.0,-0.0525,1.036,0.2485,58,False,True,False,skellam_or_gaussian,target
away_run_diff,164438,0,0.0,0.5,-0.132415,4.309788,-1.0,-7.0,-3.0,3.0,7.0,0.0525,1.036,0.2485,58,False,True,False,skellam_or_gaussian,target
first_5_total_runs,164438,0,0.0,4.6,5.102811,3.489594,5.0,1.0,3.0,7.0,12.0,1.0835,2.2667,0.4128,38,False,True,True,negative_binomial,target
first_5_home_runs,164438,0,0.0,19.56,2.688156,2.496006,2.0,0.0,1.0,4.0,7.0,1.3692,3.0666,0.4739,28,False,True,True,negative_binomial,target
first_5_away_runs,164438,0,0.0,22.49,2.414655,2.348495,2.0,0.0,1.0,4.0,7.0,1.4401,3.2358,0.493,28,False,True,True,negative_binomial,target
first_5_home_run_diff,164438,0,0.0,15.23,0.273501,3.36358,0.0,-5.0,-2.0,2.0,6.0,0.0679,1.4752,0.2245,50,False,True,False,skellam_or_gaussian,target
