col_name,label,family,ks_stat,ks_pvalue,params_json,bic_1comp,bic_2comp,best_fit,skipped
home_win,target,bernoulli,,,{},,,bernoulli,True
away_win,target,bernoulli,,,{},,,bernoulli,True
yrfi,target,bernoulli,,,{},,,bernoulli,True
nrfi,target,bernoulli,,,{},,,bernoulli,True
extra_innings,target,bernoulli,,,{},,,bernoulli,True
total_runs,target,normal,0.10295175565732362,0.0,"{""loc"": 8.98631, ""scale"": 4.674974073072492}",,,gmm2,False
total_runs,target,lognormal,0.12567209986978262,0.0,"{""s"": 0.6873148190382335, ""loc"": 0, ""scale"": 7.67277723616137}",,,gmm2,False
total_runs,target,student_t,0.08608380013594319,0.0,"{""df"": 9.37127681436883, ""loc"": 8.701363545921556, ""scale"": 4.125392527644637}",,,gmm2,False
total_runs,target,poisson,0.1352545632555121,0.0,"{""lambda"": 8.98631}",,,gmm2,False
total_runs,target,negative_binomial,0.10266101245493964,0.0,"{""n"": 6.275026183093248, ""p"": 0.4111714798632653}",,,gmm2,False
total_runs,target,gmm2,0.06164000000000003,1.804859338755483e-30,"{""means"": [13.878060012200754, 7.210054999991598], ""covariances"": [22.290071184511678, 9.853465890723005], ""weights"": [0.2663847727706598, 0.7336152272293401]}",592255.4558635497,582520.2022390383,gmm2,False
home_runs,target,normal,0.12813440778759444,0.0,"{""loc"": 4.56057, ""scale"": 3.140915674624201}",,,gmm2,False
home_runs,target,lognormal,0.43383189936422084,0.0,"{""s"": 5.121956389077617, ""loc"": 0, ""scale"": 1.1394671739246185}",,,gmm2,False
home_runs,target,student_t,0.09173221820199826,0.0,"{""df"": 9.234558533055374, ""loc"": 4.179884257199955, ""scale"": 2.8672763265464454}",,,gmm2,False
home_runs,target,poisson,0.1477228897485896,0.0,"{""lambda"": 4.56057}",,,gmm2,False
home_runs,target,negative_binomial,0.14917056737100515,0.0,"{""n"": 3.9207646171062778, ""p"": 0.4622815622907226}",,,gmm2,False
home_runs,target,gmm2,0.08518999999999999,7.56005524728669e-58,"{""means"": [8.181082948455051, 3.399453609118882], ""covariances"": [10.457691120651027, 4.123358079668909], ""weights"": [0.24282860683681437, 0.7571713931631857]}",512713.6071980255,499081.21616970387,gmm2,False
away_runs,target,normal,0.13266041031177384,0.0,"{""loc"": 4.42574, ""scale"": 3.218363784969002}",,,gmm2,False
away_runs,target,lognormal,0.44381611591665326,0.0,"{""s"": 5.591258815136637, ""loc"": 0, ""scale"": 0.8483111137979686}",,,gmm2,False
away_runs,target,student_t,0.11004744193035587,0.0,"{""df"": 7.647305987965586, ""loc"": 4.145978778843853, ""scale"": 2.7572815721942856}",,,gmm2,False
away_runs,target,poisson,0.1529954282760312,0.0,"{""lambda"": 4.42574}",,,gmm2,False
away_runs,target,negative_binomial,0.1425482815098303,0.0,"{""n"": 3.3018813753636125, ""p"": 0.42728301698247306}",,,gmm2,False
away_runs,target,gmm2,0.09290000000000004,9.902761418808116e-69,"{""means"": [8.219843570989461, 3.1550395046698245], ""covariances"": [10.104815216257578, 4.006767957799832], ""weights"": [0.25088838160226773, 0.7491116183977322]}",517585.3503108236,502522.506977277,gmm2,False
home_run_diff,target,normal,0.11481573456400951,0.0,"{""loc"": 0.13483, ""scale"": 4.311734090954589}",,,gmm2,False
home_run_diff,target,student_t,0.12041329388273414,0.0,"{""df"": 9.466938138647023, ""loc"": 0.1531441274259161, ""scale"": 3.8316453048327306}",,,gmm2,False
home_run_diff,target,gmm2,0.10260000000000002,9.0120110537808e-84,"{""means"": [1.8779374111458256, -2.1147265515161613], ""covariances"": [14.094482825540322, 15.412348029339414], ""weights"": [0.5634224599298173, 0.4365775400701826]}",576078.7653892388,576718.0820510756,gmm2,False
away_run_diff,target,normal,0.11481573456400951,0.0,"{""loc"": -0.13483, ""scale"": 4.311734090954589}",,,gmm2,False
away_run_diff,target,student_t,0.12041359802124596,0.0,"{""df"": 9.467036347699405, ""loc"": -0.15313977987714106, ""scale"": 3.831652132200368}",,,gmm2,False
away_run_diff,target,gmm2,0.1028,4.254572771025178e-84,"{""means"": [-1.8779374111458256, 2.1147265515161613], ""covariances"": [14.094482825540322, 15.412348029339414], ""weights"": [0.5634224599298173, 0.4365775400701826]}",576078.7653892388,576718.0820510756,gmm2,False
first_5_total_runs,target,normal,0.12162390739997286,0.0,"{""loc"": 5.10672, ""scale"": 3.499501513301573}",,,gmm2,False
